Book Title,Final Answer
뉴욕의 감각(큰글자도서),"책 제목 : 뉴욕의 감각 (큰글자도서) (아트 디렉터가 큐레이팅한 도시의 공간과 문화, 라이프 스타일)
저자 : 박주희
출판사 : 다산북스
출판일 : 2025년 1월 24일
ISBN : 9791130661797
설명 : 이 책은 15년 차 아트 디렉터이자 10년간 뉴욕 생활자로 살았던 저자 박주희와 함께 뉴욕이라는 브랜드를 탐험하는 브랜딩서다. 뉴욕은 세계의 문화 수도이자 트렌드를 선도하는 곳으로서 도시 그 이상, 하나의 브랜드나 마찬가지다. 뉴욕에서 탄생한 제품이나 브랜드, 나아가 그곳의 문화와 취향까지 세계로 퍼져나가 유행을 선도한다.
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5263228/52632286899.20250123185607.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52632286899"
심플하게 나이 드는 기쁨(큰글자도서),"책 제목 : 심플하게 나이 드는 기쁨 (큰글자도서)
저자 : 마스노 슌묘
출판사 : 나무생각
출판일 : 2025년 1월 24일
ISBN : 979-11-6218-336-6
설명 : 일본의 베스트셀러 작가이자 선(禪)의 정원 디자이너로 유명한 마스노 슌묘는 ‘아무것도 없는 정원’을 디자인하기 위해 고심한다. 정원 디자인을 의뢰받았을 때 늘 염두에 두는 것은 더 이상 버릴 것이 없는 단계까지 불필요한 것들을 제거하는 것이다. 의뢰자로 하여금 ‘아무것도 없는 데에서 느끼는 평온함’에 도달하도록 하는 것이 선의 정원이 지향하는 목표다.
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5264412/52644129933.20250125071233.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52644129933"
인공지능은 나의 읽기-쓰기를 어떻게 바꿀까(큰글자도서),"책 제목 : 인공지능은 나의 읽기-쓰기를 어떻게 바꿀까(큰글자도서) (지금 준비해야 할 문해력의 미래)
저자 : 김성우
출판사 : 유유
출판일 : 2025-01-24
ISBN : 9791167701107
설명 : 인공지능과 어떤 식으로 관계 맺고 공존하는 것이 가장 인간적이며 효율을 넘어 우리 삶의 유익을 추구하는 쪽인지 고민한 책입니다. 응용언어학자로서 개인과 사회, 기술과 리터러시가 엮이는 방식을 오래도록 연구해 온 저자는 최근까지 지속된 국내외 연구들을 바탕으로 인간만이 가지는 차별점이 무엇인지, 그 기술이 사회 곳곳에 스며들기 전에 확립해야 할 윤리는 무엇인지 살핀다고 합니다.
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5263228/52632286939.20250124095942.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52632286939"
영미 범죄소설의 형성과 전개,"책 제목 : 영미 범죄소설의 형성과 전개
저자 : 계정민
출판사 : 계명대학교출판부
출판일 : 2025년 1월 24일
ISBN : 979-11-6516-245-0
설명 : 영미 범죄소설의 역사는 뉴게이트 소설의 탄생과 추리소설로의 전환, 하드보일드 추리소설의 등장으로 요약된다. 이 책은 장르적 안착에 성공하고 장르적 변용과 장르 내 분화를 이루기 위해 영미 범죄소설이 시도한 계급, 인종/민족, 젠더 이데올로기와의 충돌과 타협, 경합과 협상을 다룬다.
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5264714/52647140137.20250125071224.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52647140137"
무지의 즐거움(큰글자도서),"책 제목 : 무지의 즐거움(큰글자도서) (지적 흥분을 부르는 천진한 어른의 공부 이야기)
저자 : 우치다 타츠루
출판사 : 유유
출판일 : 2025-01-24
ISBN : 9791167701114
설명 : 평생 자기만의 배움을 길을 찾아 닦고 걸어오며 대중과 소통해 온 베스트셀러 작가이자 사상가 우치다 다쓰루가 배움의 길을 묻는 한국의 독자들과 처음으로 직접 소통을 시도한다. 그간 한국에 소개된 선생의 책은 모두 일본에서 먼저 출간된 것을 우리말로 번역해 펴낸 것이었지만, 이 책은 처음부터 한국에서 기획되어 오롯이 한국 독자들을 향해 쓰였다.
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5263228/52632286874.20250124100007.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52632286874"
매직 스플릿(큰글자도서),"책 제목 : 매직 스플릿 (큰글자도서) (자산과 현금흐름이 동시에 불어나는 새로운 투자 시스템)
저자 : 박성현
출판사 : 경이로움
출판일 : 2025-01-24
ISBN : 9791192445991
설명 : 변동성은 더 이상 리스크가 아니다, 수익의 크기다! 18년 동안 손해만 본 ‘주식 호구’가 ‘100억대 자산가’가 된 비결! 100억대 자산가이자 베스트셀러 작가 박성현의 신간 『매직 스플릿』이 출간되었다. 매직 스플릿은 자산과 현금흐름이 동시에 불어나는 새로운 투자 시스템으로, 가치투자와 단기투자의 단점을 보완하고 장점을 강화해 수익을 극대화한 투자법이다.
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5263228/52632286896.20250125071257.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52632286896"
2025 박진혁 세무사의 전산회계 1급 3주 완성,"책 제목 : 2025 박진혁 세무사의 전산회계 1급 3주 완성(이론+실무+최신기출)
저자 : 박진혁
출판사 : 배움
출판일 : 2025.01.24
ISBN : 9791194613060
설명 : 한국세무사회 출제위원 출신 집필! 비전공자도 쉽고 빠르게 독학 할 수 있는 핵심개념 총정리 ! 개정 세법 및 전산회계 1급 최신 출제경향 완벽 반영 ! 
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5264413/52644130020.20250124065110.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52644130020"
김현웅 클리닉 전공수학 9: 일반통계학,"책 제목 : 김현웅 클리닉 전공수학 9: 일반통계학 (중등교원 임용시험 대비, 개정판)
저자 : 김현웅
출판사 : 배움
출판일 : 2025.01.24
ISBN : 9791194613053
설명 : 꼭 필요한 내용만 담은 이론서, 필수 예제, 연습문제와 해설, 2025학년도 이전의 모든 기출문제와 해설수록, 동영상 강의 : 윌비스임용, 유튜브채널 : 김현웅전공수학, 다음카페 : 현웅임용수학연구원
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5263228/52632286912.20250123185608.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52632286912"
김현웅 클리닉 전공수학 4: 정수론,"책 제목 : 김현웅 클리닉 전공수학 4: 정수론 (중등교원 임용시험 대비, 개정판)
저자 : 김현웅
출판사 : 배움
출판일 : 2025년 1월 24일
ISBN : 9791194613046
설명 : 꼭 필요한 내용만 담은 이론서, 필수 예제, 연습문제와 해설, 2025학년도 이전의 모든 기출문제와 해설수록, 동영상 강의 : 윌비스임용, 유튜브채널 : 김현웅전공수학, 다음카페 : 현웅임용수학연구원
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5263228/52632286921.20250123185609.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52632286921"
김현웅 클리닉 전공수학 2: 복소해석학,"책 제목 : 김현웅 클리닉 전공수학 2: 복소해석학
저자 : 김현웅
출판사 : 배움
출판일 : 2025.01.24
ISBN : 9791194613039
설명 : 꼭 필요한 내용만 담은 이론서, 필수 예제, 연습문제와 해설, 2025학년도 이전의 모든 기출문제와 해설수록, 동영상 강의 : 윌비스임용, 유튜브채널 : 김현웅전공수학, 다음카페 : 현웅임용수학연구원
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5263228/52632286923.20250123185610.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52632286923"
개를 낳았다 시즌2 7,"책 제목 : 개를 낳았다 시즌 2 : 7 (이별부터 만남까지)
저자 : 이선
출판사 : 서울미디어코믹스(서울문화사)
출판일 : 2025년 01월 24일
ISBN : 979-11-367-97612
설명 : 기적처럼 만난 너와 가족이 되어 가는 이야기. 사랑스러운 너와의 첫 만남부터 이별까지. 처음으로 반려견을 키우게 된 다나와 모든 것이 처음인 강아지 명동이가 만나 함께 살아가는 왁자지껄 일상!
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5263109/52631097091.20250123163916.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52631097091"
도산코 갸루는 참말로 귀여워 14,"책 제목 : 도산코 갸루는 참말로 귀여워 14
저자 : KAI IKADA
출판사 : 서울미디어코믹스(서울문화사)
출판일 : 2025년 01월 24일
ISBN : 979-11-36798-51-0
설명 : 삿포로 여행에서 달콤한 한때를 보낸 츠바사와 후유키 씨에게 만남과 이별의 계절이 찾아왔다.  고교 3학년이 된 두 사람은 진로와 입시 공부로 바쁜 나날을 보내는데...! 서로 만나지 못하는 날들이 이어지는 가운데 두 사람이 나눈 미래에 대한 약속은--?! “참말로 귀여운 갸루”들이 보내는 북쪽 대지의 가슴 설레는 러브 코미디 드디어 피날레를 맞이하다!!!
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5263109/52631097042.20250123163912.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52631097042"
명탐정 코난 범인 한자와 씨 9,"책 제목 : 명탐정 코난 : 범인 한자와 씨 9
저자 : Mayuko KANBA
출판사 : 서울미디어코믹스(서울문화사)
출판일 : 2025.01.24
ISBN : 979-11-3679-7803
설명 : 텃밭에서 채소 농사도 짓고... 장롱 면허 운전자 강습도 받고... 살인범과는 거리가 먼 생활을 보내고 있는 듯했다. 그런데! 탐정 코시엔에 ‘그 작자’=쿠도 신이치가 참가한다는 사실을 알고... 한자와 씨는 ‘그 작자’를 죽이기 위해 코시엔으로 향한다-!!
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5263073/52630730925.20250124071213.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52630730925"
한 꿈이 있습니다,"책 제목 : 한 꿈이 있습니다 (희년과 통일을 준비하는 한꿈교회 이야기)
저자 : 임용석^남성경
출판사 : 도서출판한꿈
출판일 : 2025.01.24
ISBN : 9791199110618
설명 : 한꿈교회는 평화를 품은 예수공동체 입니다. 신앙공동체는 구약성경에서 노아의 방주나 신약성경에서 바다에 던진 그물(마 13:47~48)과 같은 의미입니다. 또 예수님께서 교회를 약속하실 때, ‘천국의 열쇠’를 주신다고 말씀하셨습니다. 교회가 천국에 들어가도록 안내한다는 의미(마 16:19)이기도 하지만, 교회가 모든 문제의 답이라는 의미이기도 합니다. 실제로 이 땅의 교회들이 초대교회처럼 공동체적인 삶을 보일 수만 있다면 통일의 방법을 알게 됩니다. 이 책이 통일을 소망하며 기대하는 교회에게 통일을 위한 구체적인 방법을 알게 하고, 그래서 실제로 통일을 준비하는 일에 용기를 갖는 계기가 되기를 바랍니다.
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5263109/52631097076.20250124095950.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52631097076"
오리 날개를 달다,"책 제목 : 오리, 날개를 달다
저자 : 꿈을 쓰는 오리들
출판사 : 빨강머리앤
출판일 : 2025년 1월 24일
ISBN : 9791193743812
설명 : 2025 대구광역시교육청 책쓰기 프로젝트
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5261555/52615553016.20250124071207.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52615553016"
리더의 질문력,"책 제목 : 리더의 질문력 (어떻게 진짜 일을 시작할 것인가)
저자 : Michael Bungay Stanier
출판사 : 리더스북
출판일 : 2025년 1월 24일
ISBN : 9788901292496
설명 : 전 세계 100만 독자를 사로잡은 리더십 구루, 마이클 번게이 스태니어 30년 리더십 코칭의 모든 것을 집대성한 역작
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5263109/52631097093.20250124095717.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52631097093"
세 개의 적,"책 제목 : 세 개의 적
저자 : 박해울
출판사 : 다산책방
출판일 : 2025-01-24
ISBN : 979-11-3066-295-4
설명 : 장편소설 『기파』로 제3회 한국과학문학상 대상을 수상한 작가 박해울의 두 번째 장편소설
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5262921/52629214494.20250124100008.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52629214494"
우리가 만든 하루,"책 제목 : 우리가 만든 하루
저자 : 대구남동초 1학년 1반 (슈퍼사랑반)
출판사 : 빨강머리앤
출판일 : 2025년 1월 24일
ISBN : 9791193743829
설명 : 〈2025 대구광역시교육청 책쓰기 프로젝트〉에서 선정된 책으로, IB 월드스쿨의 IB PYP 초학문적 주제 중 하나인 “세계가 돌아가는 방식(How the world works)”을 탐구하며 만들었습니다. 아이들이 이 책을 만들 때 서로의 하루를 나누며 “나도 그래!”하기도 하고, “나는 그렇지 않아. 그렇지만 너의 마음도 이해가 되네.”라며 재잘재잘 소통했습니다.
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5263109/52631097100.20250124091944.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52631097100"
꼬마 작가들의 속닥속닥 이야기,"책 제목 : 꼬마 작가들의 속닥속닥 이야기
저자 : 대구 교대부설초 글함성 책쓰기동아리
출판사 : 빨강머리앤
출판일 : 2025.01.24
ISBN : 9791193743805
설명 : 2022 개정 교육과정에서 매체가 국어 영역에 새롭게 포함되었다. 학생들은 빠르게 변화하는 디지털 환경을 경험하면서 생활하고 배우고 있다. 이러한 학생들이 다양한 매체를 활용해서 글을 쓰고 공유하면서 비판적으로 평가하고 올바른 정보를 받아들이는 능력을 향상시킬 필요성을 느끼면서 매체를 활용해서 '글과 사진'이 함께하는 일상의 글쓰기를 지속했으며, 그 결과물을 책으로 엮게 되었다.
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5261555/52615553762.20250124095756.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52615553762"
천사들의 엄격함,"책 제목 : 천사들의 엄격함 (보르헤스, 하이젠베르크, 칸트 그리고 실재의 궁극적 본질)
저자 : 윌리엄 에긴턴
출판사 : 까치
출판일 : 2025.01.24
ISBN : 9788972918653
설명 : 우리가 감각하는 현실은 세계 그 자체인가? 인식의 한계까지 밀어붙인 세 지성의 지적 호기심과 깊은 통찰을 만나다
우리가 속한 현실의 실제 모습은 우리의 생각과 얼마나 닮았을까? 혹시, 우리가 “현실”이라고 인식하는 것은 그저 우리가 그것을 바라보는 방식에 불과한 것은 아닐까? 인문학자이자 문학 비평가, 철학자이기도 한 윌리엄 에긴턴은 아르헨티나의 시인이자 소설가 보르헤스, 불확정성 원리를 주창한 물리학자 하이젠베르크, 근대 계몽주의 철학자 칸트라는 세 사람의 삶과 저작을 독창적으로 연결함으로써 실재의 본질을 탐구한다. 보르헤스의 소설에서 제목을 따온 이 책은 우리가 경험하는 실재가 “천사들의 엄격함”을 따르는 것이 아니라 우리 인간의 제한적인 관점에 따라서 좌우됨을 보여준다.
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5262792/52627921051.20250124100020.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52627921051"
별의 커비 오늘도 동글동글 일기! 2,"책 제목 : 별의 커비 오늘도 동글동글 일기! 2
저자 : 대원키즈 편집부
출판사 : 대원키즈
출판일 : 20250123
ISBN : 9791142303753
설명 : 하루도 조용할 날 없는 커비와 디디디 대왕의 하루하루를 담은 『별의 커비 오늘도 동글동글 일기!』. 두 번째 이야기는 다이내믹함과 폭소가 더욱 업그레이드되어 찾아온다.
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5259202/52592020041.20250121080114.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52592020041"
너의 부르심을 보라,"책 제목 : 너의 부르심을 보라 (그리스도인의 소명, 일, 사역에 대한 바울의 이해)
저자 : 고든 D. 피
출판사 : 성서유니온
출판일 : 2025.01.24
ISBN : 9788932550756
설명 : 『성경을 어떻게 읽을 것인가』의 저자 고든 피, 바울 서신에 나타난 그리스도인의 진정한 부르심을 탐구하다! 저명한 신약학자인 저자는 바울 서신의 문맥과 메시지를 주의 깊게 살피면서 가정, 직장, 교회에서 그리스도인의 정체성이 어떻게 구현되는지 조명한다.
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5262921/52629214488.20250124095903.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52629214488"
슈팅스타 캐치! 티니핑 시즌5 마그네틱 코디숍,"책 제목 : 슈팅스타 캐치! 티니핑 시즌5 마그네틱 코디숍
저자 : 학산문화사 편집부
출판사 : 아이누리
출판일 : 2025년 1월 24일
ISBN : 8800282152
설명 : 하모니 마을에 스타티니핑이 불시착했다?!
로미는 새로운 로열티니핑들과 스타티니핑을 캐치해, 밤 하늘의 별빛을 되찾아야 한다!
이모션 왕국 우주별마을에서는 어찌 된 일인지 나태해진 스타티니핑들이 제 할 일은 하지 않고 별들을 소홀히 대한다.
결국 빛을 잃은 별들로 인해 생겨난 블랙홀에 스타티니핑들이 빨려 들어가기 시작한다.
과연 로미는 블랙홀에 빨려 들어간 스타티니핑들을 찾아 캐치할 수 있을까?
대체 우주별 마을에는 무슨 일이 있었던 걸까? 새로운 티니핑들과 함께 펼쳐지는 로미의 이야기가 지금부터 시작된다!
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5254896/52548967733.20250120072618.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52548967733"
슈팅스타 캐치! 티니핑 시즌5 폭신폭신 반짝핑 코디스티커,"책 제목 : 슈팅스타 캐치! 티니핑 시즌5 폭신폭신 반짝핑 코디스티커
저자 : 학산문화사 편집부
출판사 : 아이누리
출판일 : 2025.01.24
ISBN : 8800282152
설명 : 하모니 마을에 스타티니핑이 불시착했다. 로미는 새로운 로열티니핑들과 스타티니핑을 캐치해, 밤하늘의 별빛을 되찾아야 한다. 이모션 왕국 우주별마을에서는 어찌 된 일인지 나태해진 스타티니핑들이 제 할 일은 하지 않고 별들을 소홀히 대한다. 결국 빛을 잃은 별들로 인해 생겨난 블랙홀에 스타티니핑들이 빨려 들어가기 시작한다. 과연 로미는 블랙홀에 빨려 들어간 스타티니핑들을 찾아 캐치할 수 있을까? 대체 우주별 마을에는 무슨 일이 있었던 걸까? 새로운 티니핑들과 함께 펼쳐지는 로미의 이야기가 지금부터 시작된다.
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5254896/52548967755.20250121071601.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52548967755"
버블티 내신100 고등 공통국어 1 해냄(임광찬) 기출문제집 개념학습편(2025),"책 제목 : 버블티 내신100 고등 공통국어 1 해냄(임광찬) 내신대비서 : 개념학습편 (2025년) (2022 개정 교육과정)
저자 : 조성우, 손용중, 유태우, 윤철훈, 이창주
출판사 : 학문아카이브
출판일 : 2025년 1월 24일
ISBN : 9791198765185
설명 : 버블티 내신100 고등 공통국어 내신대비서(개념학습편)는 고등 1학년 국어 학교시험 대비 교재이다. 본 책은 교과서 지문을 전체 수록하였고, 각 단원별 학습목표와 시험 출제요소를 분석하여 가장 중요한 개념에 대한 이해와 가장 출제율이 높은 문제에 대한 풀이 및 해설로 구성되어 있다. 교과서 본문 학습-다시보기-소단원 기본문제-틀리기 쉬운 문제-수능형 문제-단원 종합문제로 구성하여, 중요한 개념에 대한 이해와 문제풀이를 단계별 step에 따라 학습하면 학교 시험을 완벽하게 대비할 수 있을 것으로 확신한다.
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5261555/52615554110.20250122202019.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52615554110"
현대 철학 강의,"책 제목 : 현대 철학 강의 (31가지 테마로 본 현대 영미철학의 흐름과 쟁점)
저자 : 로저 스크루턴
출판사 : 바다출판사
출판일 : 2025년 1월 24일
ISBN : 979-11-6689-321-6
설명 : 우리 시대 최고의 현대 철학 개론서로, 데카르트 이후 현대 철학의 주요 흐름과 쟁점을 세세한 학술 논쟁이라는 미궁에 빠지지 않으면서 철학 초심자도 알기 쉽게 전해줍니다.
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5262612/52626123554.20250124092018.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52626123554"
버블티 내신100 고등 공통국어 1 창비(최원식) 기출문제집 개념학습편(2025),"책 제목 : 버블티 내신100 고등 공통국어 1 창비(최원식) 내신대비서 : 개념학습편 (2025년) (2022 개정 교육과정)
저자 : 조성우, 고성환, 곽태경, 김민정, 유태우
출판사 : 학문아카이브
출판일 : 2025년 1월 24일
ISBN : 9791198765161
설명 : 고등 1학년 국어 학교시험 대비 교재로, 교과서 지문을 전체 수록하였고, 각 단원별 학습목표와 시험 출제요소를 분석하여 가장 중요한 개념에 대한 이해와 가장 출제율이 높은 문제에 대한 풀이 및 해설로 구성되어 있다.
섬네일 링크 : https://shopping-phinf.pstatic.net/main_5261555/52615553415.20250122202000.jpg
구매링크 : https://search.shopping.naver.com/book/catalog/52615553415"
